Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,SalarySlab,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,MonthlyIncome_Uncapped,Attrition_Numeric,Age_Group,Tenure_Group,FlightRiskScore_LR,FlightRiskScore_RF,Predicted_Attrition_LR,Risk_Category
19,No,Travel_Rarely,645,Research & Development,9,2,Life Sciences,3,Male,54,3,1,Research Scientist,1,Single,2552.0,Upto 5k,7172,1,No,25,4,3,0,1,4,3,1,1,0,0.0,2552,0,18-25,0-2 Yrs,0.2661,0.3989,0,Low Risk
19,Yes,Non-Travel,504,Research & Development,10,3,Medical,1,Female,96,2,1,Research Scientist,2,Single,1859.0,Upto 5k,6148,1,Yes,25,4,2,0,1,2,4,1,1,0,0.0,1859,1,18-25,0-2 Yrs,0.7708,0.8626,1,High Risk
19,No,Travel_Rarely,265,Research & Development,25,3,Life Sciences,2,Female,57,4,1,Research Scientist,4,Single,2994.0,Upto 5k,21221,1,Yes,12,3,4,0,1,2,3,1,0,0,1.0,2994,0,18-25,0-2 Yrs,0.7404,0.3893,1,High Risk
20,Yes,Travel_Frequently,871,Research & Development,6,3,Life Sciences,4,Female,66,2,1,Laboratory Technician,4,Single,2926.0,Upto 5k,19783,1,Yes,18,3,2,0,1,5,3,1,0,1,0.0,2926,1,18-25,0-2 Yrs,0.77,0.6311,1,High Risk
20,No,Travel_Rarely,959,Research & Development,1,3,Life Sciences,4,Female,83,2,1,Research Scientist,2,Single,2836.0,Upto 5k,11757,1,No,13,3,4,0,1,0,4,1,0,0,0.0,2836,0,18-25,0-2 Yrs,0.2733,0.3575,0,Low Risk
20,Yes,Travel_Rarely,1362,Research & Development,10,1,Medical,4,Male,32,3,1,Research Scientist,3,Single,1009.0,Upto 5k,26999,1,Yes,11,3,4,0,1,5,3,1,0,1,1.0,1009,1,18-25,0-2 Yrs,0.6108,0.6805,1,Medium Risk
20,Yes,Travel_Rarely,500,Sales,2,3,Medical,3,Female,49,2,1,Sales Representative,3,Single,2044.0,Upto 5k,22052,1,No,13,3,4,0,2,3,2,2,2,0,2.0,2044,1,18-25,0-2 Yrs,0.6704,0.7495,1,High Risk
20,Yes,Travel_Rarely,129,Research & Development,4,3,Technical Degree,1,Male,84,3,1,Laboratory Technician,1,Single,2973.0,Upto 5k,13008,1,No,19,3,2,0,1,2,3,1,0,0,0.0,2973,1,18-25,0-2 Yrs,0.9435,0.6725,1,High Risk
20,Yes,Travel_Rarely,1097,Research & Development,11,3,Medical,4,Female,98,2,1,Research Scientist,1,Single,2600.0,Upto 5k,18275,1,Yes,15,3,1,0,1,2,3,1,0,0,0.0,2600,1,18-25,0-2 Yrs,0.8784,0.784,1,High Risk
20,Yes,Travel_Frequently,769,Sales,9,3,Marketing,4,Female,54,3,1,Sales Representative,4,Single,2323.0,Upto 5k,17205,1,Yes,14,3,2,0,2,3,3,2,2,0,2.0,2323,1,18-25,0-2 Yrs,0.9175,0.7536,1,High Risk
20,No,Travel_Rarely,805,Research & Development,3,3,Life Sciences,1,Male,87,2,1,Laboratory Technician,3,Single,3033.0,Upto 5k,12828,1,No,12,3,1,0,2,2,2,2,2,1,2.0,3033,0,18-25,0-2 Yrs,0.8288,0.5739,1,High Risk
20,No,Travel_Rarely,654,Sales,21,3,Marketing,3,Male,43,4,1,Sales Representative,4,Single,2678.0,Upto 5k,5050,1,No,17,3,4,0,2,2,3,2,1,2,2.0,2678,0,18-25,0-2 Yrs,0.7181,0.3507,1,High Risk
20,No,Travel_Rarely,1141,Sales,2,3,Medical,3,Female,31,3,1,Sales Representative,3,Single,2783.0,Upto 5k,13251,1,No,19,3,1,0,2,3,3,2,2,2,2.0,2783,0,18-25,0-2 Yrs,0.5569,0.3664,1,Medium Risk
20,No,Travel_Rarely,727,Sales,9,1,Life Sciences,4,Male,54,3,1,Sales Representative,1,Single,2728.0,Upto 5k,21082,1,No,11,3,1,0,2,3,3,2,2,0,2.0,2728,0,18-25,0-2 Yrs,0.7462,0.3338,1,High Risk
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,Male,96,3,1,Research Scientist,4,Single,1232.0,Upto 5k,19281,1,No,14,3,4,0,0,6,3,0,0,0,3.0,1232,0,18-25,0-2 Yrs,0.1226,0.305,0,Low Risk
21,No,Travel_Rarely,996,Research & Development,3,2,Medical,4,Male,100,2,1,Research Scientist,3,Single,3230.0,Upto 5k,10531,1,No,17,3,1,0,3,4,4,3,2,1,0.0,3230,0,18-25,3-5 Yrs,0.251,0.3365,0,Low Risk
21,Yes,Travel_Frequently,756,Sales,1,1,Technical Degree,1,Female,99,2,1,Sales Representative,2,Single,2174.0,Upto 5k,9150,1,Yes,11,3,3,0,3,3,3,3,2,1,2.0,2174,1,18-25,3-5 Yrs,0.9951,0.8453,1,High Risk
21,No,Non-Travel,895,Sales,9,2,Medical,1,Male,39,3,1,Sales Representative,4,Single,2610.0,Upto 5k,2851,1,No,24,4,3,0,3,3,2,3,2,2,3.0,2610,0,18-25,3-5 Yrs,0.5807,0.3853,1,Medium Risk
21,Yes,Travel_Rarely,156,Sales,12,3,Life Sciences,3,Female,90,4,1,Sales Representative,2,Single,2716.0,Upto 5k,25422,1,No,15,3,4,0,1,0,3,1,0,0,0.0,2716,1,18-25,0-2 Yrs,0.7783,0.8041,1,High Risk
21,No,Travel_Rarely,1343,Sales,22,1,Technical Degree,3,Male,49,3,1,Sales Representative,3,Single,3447.0,Upto 5k,24444,1,No,11,3,3,0,3,2,3,3,2,1,2.0,3447,0,18-25,3-5 Yrs,0.9402,0.2733,1,High Risk
21,Yes,Travel_Rarely,1427,Research & Development,18,1,Other,4,Female,65,3,1,Research Scientist,4,Single,2693.0,Upto 5k,8870,1,No,19,3,1,0,1,3,2,1,0,0,0.0,2693,1,18-25,0-2 Yrs,0.1984,0.7398,0,Low Risk
21,Yes,Travel_Rarely,1334,Research & Development,10,3,Life Sciences,3,Female,36,2,1,Laboratory Technician,1,Single,1416.0,Upto 5k,17258,1,No,13,3,1,0,1,6,2,1,0,1,0.0,1416,1,18-25,0-2 Yrs,0.6155,0.5935,1,Medium Risk
21,No,Travel_Rarely,984,Research & Development,1,1,Technical Degree,4,Female,70,2,1,Research Scientist,2,Single,2070.0,Upto 5k,25326,1,Yes,11,3,3,0,2,6,4,2,2,2,2.0,2070,0,18-25,0-2 Yrs,0.7118,0.3989,1,High Risk
21,Yes,Travel_Frequently,251,Research & Development,10,2,Life Sciences,1,Female,45,2,1,Laboratory Technician,3,Single,2625.0,Upto 5k,25308,1,No,20,4,3,0,2,2,1,2,2,2,2.0,2625,1,18-25,0-2 Yrs,0.8969,0.7883,1,High Risk
21,No,Travel_Rarely,546,Research & Development,5,1,Medical,3,Male,97,3,1,Research Scientist,4,Single,3117.0,Upto 5k,26009,1,No,18,3,3,0,3,2,3,2,2,2,2.0,3117,0,18-25,0-2 Yrs,0.2753,0.2114,0,Low Risk
21,Yes,Travel_Rarely,337,Sales,7,1,Marketing,2,Male,31,3,1,Sales Representative,2,Single,2679.0,Upto 5k,4567,1,No,13,3,2,0,1,3,3,1,0,1,0.0,2679,1,18-25,0-2 Yrs,0.9096,0.6054,1,High Risk
21,No,Travel_Rarely,501,Sales,5,1,Medical,3,Male,58,3,1,Sales Representative,1,Single,2380.0,Upto 5k,25479,1,Yes,11,3,4,0,2,6,3,2,2,1,2.0,2380,0,18-25,0-2 Yrs,0.9284,0.3504,1,High Risk
22,No,Non-Travel,1123,Research & Development,16,2,Medical,4,Male,96,4,1,Laboratory Technician,4,Divorced,2935.0,Upto 5k,7324,1,Yes,13,3,2,2,1,2,2,1,0,0,0.0,2935,0,18-25,0-2 Yrs,0.3452,0.3272,0,Low Risk
22,No,Travel_Rarely,534,Research & Development,15,3,Medical,2,Female,59,3,1,Laboratory Technician,4,Single,2871.0,Upto 5k,23785,1,No,15,3,3,0,1,5,3,0,0,0,0.0,2871,0,18-25,0-2 Yrs,0.4428,0.6206,0,Medium Risk
22,No,Travel_Rarely,594,Research & Development,2,1,Technical Degree,3,Male,100,3,1,Laboratory Technician,4,Married,2523.0,Upto 5k,19299,0,No,14,3,3,1,3,2,3,2,1,2,1.0,2523,0,18-25,0-2 Yrs,0.5529,0.2726,1,Medium Risk
22,No,Travel_Rarely,1256,Research & Development,19,1,Medical,3,Male,80,3,1,Research Scientist,4,Married,2323.0,Upto 5k,11992,1,No,24,4,1,2,2,6,3,2,2,2,2.0,2323,0,18-25,0-2 Yrs,0.0917,0.1607,0,Low Risk
22,No,Travel_Rarely,1136,Research & Development,5,3,Life Sciences,4,Male,60,4,1,Research Scientist,2,Divorced,2328.0,Upto 5k,12392,1,Yes,16,3,1,1,4,2,2,4,2,2,3.0,2328,0,18-25,3-5 Yrs,0.3241,0.2854,0,Low Risk
22,No,Travel_Rarely,253,Research & Development,11,3,Medical,1,Female,43,3,1,Research Scientist,2,Married,2244.0,Upto 5k,24440,1,No,13,3,4,1,2,1,3,2,1,1,2.0,2244,0,18-25,0-2 Yrs,0.4598,0.2635,0,Medium Risk
22,Yes,Travel_Frequently,1368,Research & Development,4,1,Technical Degree,3,Male,99,2,1,Laboratory Technician,3,Single,3894.0,Upto 5k,9129,5,No,16,3,3,0,4,3,3,2,2,1,2.0,3894,1,18-25,0-2 Yrs,0.8808,0.6495,1,High Risk
22,No,Travel_Rarely,604,Research & Development,6,1,Medical,1,Male,69,3,1,Research Scientist,3,Married,2773.0,Upto 5k,12145,0,No,20,4,4,0,3,3,3,2,2,2,2.0,2773,0,18-25,0-2 Yrs,0.2783,0.1163,0,Low Risk
22,No,Travel_Rarely,1230,Research & Development,1,2,Life Sciences,4,Male,33,2,2,Manufacturing Director,4,Married,4775.0,Upto 5k,19146,6,No,22,4,1,2,4,2,1,2,2,2,2.0,4775,0,18-25,0-2 Yrs,0.1732,0.1676,0,Low Risk
22,Yes,Travel_Rarely,617,Research & Development,3,1,Life Sciences,2,Female,34,3,2,Manufacturing Director,3,Married,4171.0,Upto 5k,10022,0,Yes,19,3,1,1,4,3,4,3,2,0,2.0,4171,1,18-25,3-5 Yrs,0.1808,0.2235,0,Low Risk
22,No,Travel_Rarely,217,Research & Development,8,1,Life Sciences,2,Male,94,1,1,Laboratory Technician,1,Married,2451.0,Upto 5k,6881,1,No,15,3,1,1,4,3,2,4,3,1,1.0,2451,0,18-25,3-5 Yrs,0.7609,0.1765,1,High Risk
22,Yes,Travel_Frequently,1256,Research & Development,3,4,Life Sciences,3,Male,48,2,1,Research Scientist,4,Married,2853.0,Upto 5k,4223,0,Yes,11,3,2,1,1,5,3,0,0,0,0.0,2853,1,18-25,0-2 Yrs,0.5415,0.3796,1,Medium Risk
22,No,Non-Travel,457,Research & Development,26,2,Other,2,Female,85,2,1,Research Scientist,3,Married,2814.0,Upto 5k,10293,1,Yes,14,3,2,0,4,2,2,4,2,1,3.0,2814,0,18-25,3-5 Yrs,0.6976,0.4087,1,High Risk
22,Yes,Travel_Rarely,1294,Research & Development,8,1,Medical,3,Female,79,3,1,Laboratory Technician,1,Married,2398.0,Upto 5k,15999,1,Yes,17,3,3,0,1,6,3,1,0,0,0.0,2398,1,18-25,0-2 Yrs,0.6141,0.7648,1,Medium Risk
22,Yes,Travel_Rarely,391,Research & Development,7,1,Life Sciences,4,Male,75,3,1,Research Scientist,2,Single,2472.0,Upto 5k,26092,1,Yes,23,4,1,0,1,2,3,1,0,0,0.0,2472,1,18-25,0-2 Yrs,0.785,0.8482,1,High Risk
22,No,Travel_Rarely,581,Research & Development,1,2,Life Sciences,4,Male,63,3,1,Research Scientist,3,Single,3375.0,Upto 5k,17624,0,No,12,3,4,0,4,2,4,3,2,1,2.0,3375,0,18-25,3-5 Yrs,0.1163,0.1401,0,Low Risk
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,3,Male,62,3,1,Sales Representative,1,Divorced,2322.0,Upto 5k,9518,3,No,13,3,3,1,3,3,3,0,0,0,0.0,2322,0,18-25,0-2 Yrs,0.7934,0.4052,1,High Risk
23,No,Travel_Rarely,1309,Research & Development,26,1,Life Sciences,3,Male,83,3,1,Research Scientist,4,Divorced,2904.0,Upto 5k,16092,1,No,12,3,3,2,4,2,2,4,2,0,2.0,2904,0,18-25,3-5 Yrs,0.1269,0.1368,0,Low Risk
23,No,Travel_Rarely,885,Research & Development,4,3,Medical,1,Male,58,4,1,Research Scientist,1,Married,2819.0,Upto 5k,8544,2,No,16,3,1,1,5,3,4,3,2,0,2.0,2819,0,18-25,3-5 Yrs,0.2696,0.2235,0,Low Risk
23,No,Travel_Rarely,650,Research & Development,9,1,Medical,2,Male,37,3,1,Laboratory Technician,1,Married,2500.0,Upto 5k,4344,1,No,14,3,4,1,5,2,4,4,3,0,2.0,2500,0,18-25,3-5 Yrs,0.3871,0.2101,0,Medium Risk
23,No,Travel_Rarely,310,Research & Development,10,1,Medical,1,Male,79,4,1,Research Scientist,3,Single,3505.0,Upto 5k,19630,1,No,18,3,4,0,2,3,3,2,2,0,2.0,3505,0,18-25,0-2 Yrs,0.3122,0.3183,0,Low Risk
23,Yes,Travel_Rarely,1243,Research & Development,6,3,Life Sciences,3,Male,63,4,1,Laboratory Technician,1,Married,1601.0,Upto 5k,3445,1,Yes,21,4,3,2,1,2,3,0,0,0,0.0,1601,1,18-25,0-2 Yrs,0.6682,0.7463,1,High Risk
23,No,Travel_Rarely,373,Research & Development,1,2,Life Sciences,4,Male,47,3,1,Research Scientist,3,Married,1223.0,Upto 5k,16901,1,No,22,4,4,1,1,2,3,1,0,0,1.0,1223,0,18-25,0-2 Yrs,0.0823,0.2786,0,Low Risk
23,No,Travel_Rarely,507,Research & Development,20,1,Life Sciences,1,Male,97,3,2,Laboratory Technician,3,Single,2272.0,Upto 5k,24812,0,No,14,3,2,0,5,2,3,4,3,1,2.0,2272,0,18-25,3-5 Yrs,0.8143,0.2239,1,High Risk
23,No,Travel_Rarely,977,Research & Development,10,3,Technical Degree,4,Male,45,4,1,Research Scientist,3,Married,2073.0,Upto 5k,12826,2,No,16,3,4,1,4,2,3,2,2,2,2.0,2073,0,18-25,0-2 Yrs,0.2099,0.1434,0,Low Risk
23,Yes,Travel_Rarely,1320,Research & Development,8,1,Medical,4,Male,93,2,1,Laboratory Technician,3,Single,3989.0,Upto 5k,20586,1,Yes,11,3,1,0,5,2,3,5,4,1,2.0,3989,1,18-25,3-5 Yrs,0.8988,0.3865,1,High Risk
23,Yes,Travel_Rarely,427,Sales,7,3,Life Sciences,3,Male,99,3,1,Sales Representative,4,Divorced,2275.0,Upto 5k,25103,1,Yes,21,4,2,1,3,2,3,3,2,0,2.0,2275,1,18-25,3-5 Yrs,0.77,0.7021,1,High Risk
23,No,Travel_Rarely,160,Research & Development,4,1,Medical,3,Female,51,3,1,Laboratory Technician,2,Single,3295.0,Upto 5k,12862,1,No,13,3,3,0,3,3,1,3,2,1,2.0,3295,0,18-25,3-5 Yrs,0.5349,0.223,1,Medium Risk
23,No,Travel_Rarely,571,Research & Development,12,2,Other,4,Male,78,3,1,Laboratory Technician,4,Single,2647.0,Upto 5k,13672,1,No,13,3,3,0,5,6,4,5,2,1,4.0,2647,0,18-25,3-5 Yrs,0.168,0.1024,0,Low Risk
23,Yes,Travel_Frequently,638,Sales,9,3,Marketing,4,Male,33,3,1,Sales Representative,1,Married,1790.0,Upto 5k,26956,1,No,19,3,1,1,1,3,2,1,0,1,0.0,1790,1,18-25,0-2 Yrs,0.8844,0.7331,1,High Risk
24,No,Non-Travel,673,Research & Development,11,2,Other,1,Female,96,4,2,Manufacturing Director,3,Divorced,4011.0,Upto 5k,8232,0,No,18,3,4,1,5,5,2,4,2,1,3.0,4011,0,18-25,3-5 Yrs,0.0127,0.0723,0,Low Risk
24,Yes,Travel_Rarely,813,Research & Development,1,3,Medical,2,Male,61,3,1,Research Scientist,4,Married,2293.0,Upto 5k,3020,2,Yes,16,3,1,1,6,2,2,2,0,2,0.0,2293,1,18-25,0-2 Yrs,0.7542,0.745,1,High Risk
24,No,Travel_Rarely,1353,Sales,3,2,Other,1,Female,33,3,2,Sales Executive,3,Married,4999.0,Upto 5k,17519,0,No,21,4,1,1,4,2,2,3,2,0,2.0,4999,0,18-25,3-5 Yrs,0.29,0.1081,0,Low Risk
24,No,Travel_Rarely,1127,Research & Development,18,1,Life Sciences,2,Male,52,3,1,Laboratory Technician,3,Married,2774.0,Upto 5k,13257,0,No,12,3,3,1,6,2,3,5,3,1,2.0,2774,0,18-25,3-5 Yrs,0.384,0.1233,0,Medium Risk
24,No,Travel_Rarely,1371,Sales,10,4,Marketing,4,Female,77,3,2,Sales Executive,3,Divorced,4260.0,Upto 5k,5915,1,Yes,12,3,4,1,5,2,4,5,2,0,3.0,4260,0,18-25,3-5 Yrs,0.2688,0.1434,0,Low Risk
24,Yes,Travel_Rarely,1448,Sales,1,1,Technical Degree,1,Female,62,3,1,Sales Representative,2,Single,3202.0,Upto 5k,21972,1,Yes,16,3,2,0,6,4,3,5,3,1,4.0,3202,1,18-25,3-5 Yrs,0.9642,0.681,1,High Risk
24,No,Travel_Frequently,535,Sales,24,3,Medical,4,Male,38,3,1,Sales Representative,4,Married,2400.0,Upto 5k,5530,0,No,13,3,3,2,3,3,3,2,2,2,1.0,2400,0,18-25,0-2 Yrs,0.653,0.2704,1,High Risk
24,No,Travel_Rarely,691,Research & Development,23,3,Medical,2,Male,89,4,1,Research Scientist,4,Married,2725.0,Upto 5k,21630,1,Yes,11,3,2,2,6,3,3,6,5,1,4.0,2725,0,18-25,6-10 Yrs,0.5612,0.2573,1,Medium Risk
24,No,Travel_Rarely,823,Research & Development,17,2,Other,4,Male,94,2,1,Laboratory Technician,2,Married,2127.0,Upto 5k,9100,1,No,21,4,4,1,1,2,3,1,0,0,0.0,2127,0,18-25,0-2 Yrs,0.5123,0.2383,1,Medium Risk
24,Yes,Travel_Frequently,1287,Research & Development,7,3,Life Sciences,1,Female,55,3,1,Laboratory Technician,3,Married,2886.0,Upto 5k,14168,1,Yes,16,3,4,1,6,4,3,6,3,1,2.0,2886,1,18-25,6-10 Yrs,0.7185,0.6766,1,High Risk
24,Yes,Travel_Rarely,693,Sales,3,2,Life Sciences,1,Female,65,3,2,Sales Executive,3,Single,4577.0,Upto 5k,24785,9,No,14,3,1,0,4,3,3,2,2,2,0.0,4577,1,18-25,0-2 Yrs,0.795,0.5517,1,High Risk
24,No,Non-Travel,1092,Research & Development,9,3,Life Sciences,3,Male,60,2,1,Laboratory Technician,2,Divorced,2694.0,Upto 5k,26551,1,No,11,3,3,3,1,4,3,1,0,0,0.0,2694,0,18-25,0-2 Yrs,0.1294,0.3268,0,Low Risk
24,No,Non-Travel,1269,Research & Development,4,1,Life Sciences,1,Male,46,2,1,Laboratory Technician,4,Married,3162.0,Upto 5k,10778,0,No,17,3,4,0,6,2,2,5,2,3,4.0,3162,0,18-25,3-5 Yrs,0.1889,0.1793,0,Low Risk
24,No,Travel_Rarely,1206,Research & Development,17,1,Medical,4,Female,41,2,2,Manufacturing Director,3,Divorced,4377.0,Upto 5k,24117,1,No,15,3,2,2,5,6,3,4,2,3,2.0,4377,0,18-25,3-5 Yrs,0.041,0.0607,0,Low Risk
24,No,Travel_Rarely,477,Research & Development,24,3,Medical,4,Male,49,3,1,Laboratory Technician,2,Single,3597.0,Upto 5k,6409,8,No,22,4,4,0,6,2,3,4,3,1,2.0,3597,0,18-25,3-5 Yrs,0.761,0.184,1,High Risk
24,Yes,Travel_Rarely,984,Research & Development,17,2,Life Sciences,4,Female,97,3,1,Laboratory Technician,2,Married,2210.0,Upto 5k,3372,1,No,13,3,1,1,1,3,1,1,0,0,0.0,2210,1,18-25,0-2 Yrs,0.3835,0.35,0,Medium Risk
24,No,Travel_Rarely,1476,Sales,4,1,Medical,4,Female,42,3,2,Sales Executive,3,Married,4162.0,Upto 5k,15211,1,Yes,12,3,3,2,5,3,3,5,4,0,3.0,4162,0,18-25,3-5 Yrs,0.2192,0.0905,0,Low Risk
24,Yes,Travel_Frequently,381,Research & Development,9,3,Medical,2,Male,89,3,1,Laboratory Technician,1,Single,3172.0,Upto 5k,16998,2,Yes,11,3,3,0,4,2,2,0,0,0,0.0,3172,1,18-25,0-2 Yrs,0.9884,0.6791,1,High Risk
24,No,Non-Travel,830,Sales,13,2,Life Sciences,4,Female,78,3,1,Sales Representative,2,Married,2033.0,Upto 5k,7103,1,No,13,3,3,1,1,2,3,1,0,0,0.0,2033,0,18-25,0-2 Yrs,0.246,0.224,0,Low Risk
24,No,Travel_Rarely,350,Research & Development,21,2,Technical Degree,3,Male,57,2,1,Laboratory Technician,1,Divorced,2296.0,Upto 5k,10036,0,No,14,3,2,3,2,3,3,1,1,0,0.0,2296,0,18-25,0-2 Yrs,0.7208,0.5343,1,High Risk
24,No,Travel_Frequently,567,Research & Development,2,1,Technical Degree,1,Female,32,3,1,Research Scientist,4,Single,3760.0,Upto 5k,17218,1,Yes,13,3,3,0,6,2,3,6,3,1,3.0,3760,0,18-25,6-10 Yrs,0.9283,0.2155,1,High Risk
24,No,Travel_Rarely,581,Research & Development,9,3,Medical,3,Male,62,4,1,Research Scientist,3,Married,4401.0,Upto 5k,17616,1,No,16,3,4,1,5,1,3,5,3,0,4.0,4401,0,18-25,3-5 Yrs,0.0952,0.0701,0,Low Risk
24,Yes,Travel_Rarely,240,Human Resources,22,1,Human Resources,4,Male,58,1,1,Human Resources,3,Married,1555.0,Upto 5k,11585,1,No,11,3,3,1,1,2,3,1,0,0,0.0,1555,1,18-25,0-2 Yrs,0.6799,0.6841,1,High Risk
24,No,Travel_Rarely,506,Research & Development,29,1,Medical,2,Male,91,3,1,Laboratory Technician,1,Divorced,3907.0,Upto 5k,3622,1,No,13,3,2,3,6,2,4,6,2,1,2.0,3907,0,18-25,6-10 Yrs,0.591,0.0916,1,Medium Risk
24,No,Travel_Frequently,897,Human Resources,10,3,Medical,1,Male,59,3,1,Human Resources,4,Married,2145.0,Upto 5k,2097,0,No,14,3,4,1,3,2,3,2,2,2,1.0,2145,0,18-25,0-2 Yrs,0.4507,0.2332,0,Medium Risk
24,No,Travel_Rarely,771,Research & Development,1,2,Life Sciences,2,Male,45,2,2,Healthcare Representative,3,Single,4617.0,Upto 5k,14120,1,No,12,3,2,0,4,2,2,4,3,1,2.0,4617,0,18-25,3-5 Yrs,0.3573,0.1884,0,Medium Risk
25,Yes,Travel_Rarely,240,Sales,5,3,Marketing,3,Male,46,2,2,Sales Executive,3,Single,5744.0,5k-10k,26959,1,Yes,11,3,4,0,6,1,3,6,4,0,3.0,5744,1,18-25,6-10 Yrs,0.8876,0.6269,1,High Risk
25,No,Travel_Rarely,1280,Research & Development,7,1,Medical,4,Male,64,2,1,Research Scientist,4,Married,2889.0,Upto 5k,26897,1,No,11,3,3,2,2,2,3,2,2,2,1.0,2889,0,18-25,0-2 Yrs,0.1889,0.1969,0,Low Risk
